MMSI,VESSEL TYPE,DRAUGHT,SPEED (KNOTSx10),LAT,LON,TIMESTAMP UTC
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
987654321,Fishing,0,12,7.693758,-85.90926,10/1/14 2:25
